model;del;dyn;pos;sub;thr;win;alpha;iters;negative;pow;size;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.60;0.3793;0.0000
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.70;0.4656;0.0000
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.80;0.4030;0.0000
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.90;0.1509;0.0112
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.60;0.3793;0.0000
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.70;0.4656;0.0000
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.80;0.4030;0.0000
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.90;0.1509;0.0112
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.60;0.4098;0.0000
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.70;0.4530;0.0000
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.80;0.4111;0.0000
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.90;0.2872;0.0000
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.60;0.4098;0.0000
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.70;0.4530;0.0000
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.80;0.4111;0.0000
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.90;0.2872;0.0000
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.60;0.3865;0.0000
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.70;0.4066;0.0000
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.80;0.3757;0.0000
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.90;0.2864;0.0000
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.60;0.3865;0.0000
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.70;0.4066;0.0000
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.80;0.3757;0.0000
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.90;0.2864;0.0000
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.60;0.4284;0.0000
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.70;0.4434;0.0000
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.80;0.2703;0.0000
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.90;0.0418;0.4840
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.60;0.4290;0.0000
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.70;0.4457;0.0000
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.80;0.3421;0.0000
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.90;0.0661;0.2689
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.60;0.4582;0.0000
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.70;0.4398;0.0000
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.80;0.3067;0.0000
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.90;0.1533;0.0101
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.60;0.4591;0.0000
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.70;0.4566;0.0000
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.80;0.3579;0.0000
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.90;0.1229;0.0395
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.60;0.4065;0.0000
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.70;0.3694;0.0000
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.80;0.2672;0.0000
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.90;0.2559;0.0000
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.60;0.4121;0.0000
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.70;0.4036;0.0000
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.80;0.3360;0.0000
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.90;0.2430;0.0000
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.60;0.4025;0.0000
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.70;0.4022;0.0000
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.80;0.2075;0.0005
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.90;0.0355;0.5525
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.60;0.4243;0.0000
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.70;0.4322;0.0000
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.80;0.2990;0.0000
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.90;0.0471;0.4308
sgns;False;False;False;False;50;3;False;False;15;1;100;1;1;False;0.60;0.4280;0.0000
