model;del;dyn;pos;sub;thr;win;alpha;iters;negative;pow;size;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.60;0.2151;0.0291
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.70;0.3078;0.0016
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.80;0.1994;0.0434
sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.90;0.1752;0.0767
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.60;0.2151;0.0291
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.70;0.3078;0.0016
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.80;0.1994;0.0434
sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.90;0.1752;0.0767
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.60;0.1896;0.0551
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.70;0.2392;0.0149
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.80;0.1789;0.0706
sgns;False;False;False;False;50;1;False;False;15;1;100;1;1;False;0.90;0.1978;0.0452
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.60;0.1896;0.0551
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.70;0.2392;0.0149
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.80;0.1789;0.0706
sgns;False;True;False;False;50;1;False;False;15;1;100;1;1;False;0.90;0.1978;0.0452
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.60;0.1497;0.1313
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.70;0.1490;0.1331
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.80;0.1789;0.0706
sgns;False;False;False;False;100;1;False;False;15;1;100;1;1;False;0.90;0.2052;0.0375
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.60;0.1497;0.1313
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.70;0.1490;0.1331
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.80;0.1789;0.0706
sgns;False;True;False;False;100;1;False;False;15;1;100;1;1;False;0.90;0.2052;0.0375
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.60;0.2156;0.0288
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.70;0.2226;0.0238
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.80;-0.0141;0.8876
sgns;False;False;False;False;10;2;False;False;15;1;100;1;1;False;0.90;0.1978;0.0452
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.60;0.1492;0.1326
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.70;0.2592;0.0082
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.80;0.1379;0.1648
sgns;False;True;False;False;10;2;False;False;15;1;100;1;1;False;0.90;0.1978;0.0452
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.60;0.2307;0.0191
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.70;0.1559;0.1159
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.80;-0.0296;0.7669
sgns;False;False;False;False;50;2;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.60;0.1711;0.0841
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.70;0.1791;0.0703
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.80;0.1156;0.2450
sgns;False;True;False;False;50;2;False;False;15;1;100;1;1;False;0.90;0.1978;0.0452
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.60;0.1618;0.1025
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.70;0.0861;0.3871
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.80;0.0436;0.6618
sgns;False;False;False;False;100;2;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.60;0.1578;0.1113
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.70;0.1274;0.1998
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.80;0.1527;0.1235
sgns;False;True;False;False;100;2;False;False;15;1;100;1;1;False;0.90;0.1978;0.0452
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.60;0.2360;0.0164
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.70;0.1908;0.0536
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.80;-0.0176;0.8600
sgns;False;False;False;False;10;3;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.60;0.1798;0.0692
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.70;0.2768;0.0046
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.80;0.0138;0.8899
sgns;False;True;False;False;10;3;False;False;15;1;100;1;1;False;0.90;0.1574;0.1123
sgns;False;False;False;False;50;3;False;False;15;1;100;1;1;False;0.60;0.2289;0.0200
sgns;False;False;False;False;50;3;False;False;15;1;100;1;1;False;0.70;-0.0406;0.6837
sgns;False;False;False;False;50;3;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;False;False;False;50;3;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.60;0.2012;0.0415
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.70;0.1285;0.1960
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.80;0.0254;0.7988
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.60;0.1073;0.2806
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.70;-0.0526;0.5976
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.80;0.0073;0.9416
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.60;0.1720;0.0823
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.70;0.0504;0.6129
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.80;-0.0046;0.9631
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.60;0.2068;0.0361
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.70;0.2685;0.0061
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.80;-0.0607;0.5428
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.90;-0.0084;0.9326
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.60;0.1987;0.0442
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.70;0.2987;0.0022
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.80;0.0693;0.4869
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.90;0.1574;0.1123
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.60;0.1998;0.0430
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.70;-0.1221;0.2192
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.80;-0.0285;0.7748
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.90;-0.0084;0.9326
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.60;0.2257;0.0219
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.70;0.0662;0.5062
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.80;-0.0111;0.9111
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.60;0.0416;0.6769
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.70;-0.0576;0.5632
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.60;0.2476;0.0117
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.70;0.0855;0.3906
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.80;-0.0109;0.9128
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.60;0.1626;0.1007
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.70;-0.1296;0.1919
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.80;-0.0285;0.7748
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.60;0.2038;0.0389
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.70;0.2929;0.0027
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.80;-0.0174;0.8613
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.90;0.1574;0.1123
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.60;0.1469;0.1388
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.70;-0.1892;0.0557
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.90;nan;1.0000
