model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;False;False;False;10;1;100;1;1;1;False;0.60;-0.0080;0.8936
svd;False;False;False;False;10;1;100;1;1;1;False;0.70;-0.1557;0.0088
svd;False;False;False;False;10;1;100;1;1;1;False;0.80;-0.1770;0.0029
svd;False;False;False;False;10;1;100;1;1;1;False;0.90;-0.0645;0.2803
svd;False;False;False;False;10;1;100;15;1;1;False;0.60;-0.0140;0.8156
svd;False;False;False;False;10;1;100;15;1;1;False;0.70;-0.0471;0.4309
svd;False;False;False;False;10;1;100;15;1;1;False;0.80;-0.0255;0.6701
svd;False;False;False;False;10;1;100;15;1;1;False;0.90;-0.0016;0.9788
svd;False;True;False;False;10;1;100;1;1;1;False;0.60;-0.0080;0.8936
svd;False;True;False;False;10;1;100;1;1;1;False;0.70;-0.1557;0.0088
svd;False;True;False;False;10;1;100;1;1;1;False;0.80;-0.1770;0.0029
svd;False;True;False;False;10;1;100;1;1;1;False;0.90;-0.0645;0.2803
svd;False;True;False;False;10;1;100;15;1;1;False;0.60;-0.0140;0.8156
svd;False;True;False;False;10;1;100;15;1;1;False;0.70;-0.0471;0.4309
svd;False;True;False;False;10;1;100;15;1;1;False;0.80;-0.0255;0.6701
svd;False;True;False;False;10;1;100;15;1;1;False;0.90;-0.0016;0.9788
svd;False;False;False;False;50;1;100;1;1;1;False;0.60;-0.0278;0.6427
svd;False;False;False;False;50;1;100;1;1;1;False;0.70;-0.0683;0.2538
svd;False;False;False;False;50;1;100;1;1;1;False;0.80;-0.0684;0.2533
svd;False;False;False;False;50;1;100;1;1;1;False;0.90;-0.0464;0.4384
svd;False;False;False;False;50;1;100;15;1;1;False;0.60;0.0057;0.9245
svd;False;False;False;False;50;1;100;15;1;1;False;0.70;0.0046;0.9385
svd;False;False;False;False;50;1;100;15;1;1;False;0.80;0.1001;0.0940
svd;False;False;False;False;50;1;100;15;1;1;False;0.90;0.0500;0.4040
svd;False;True;False;False;50;1;100;1;1;1;False;0.60;-0.0278;0.6427
svd;False;True;False;False;50;1;100;1;1;1;False;0.70;-0.0683;0.2538
svd;False;True;False;False;50;1;100;1;1;1;False;0.80;-0.0684;0.2533
svd;False;True;False;False;50;1;100;1;1;1;False;0.90;-0.0464;0.4384
svd;False;True;False;False;50;1;100;15;1;1;False;0.60;0.0057;0.9245
svd;False;True;False;False;50;1;100;15;1;1;False;0.70;0.0046;0.9385
