model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;False;False;False;10;1;100;1;1;1;False;0.60;0.1644;0.0970
svd;False;False;False;False;10;1;100;1;1;1;False;0.70;0.0757;0.4470
svd;False;False;False;False;10;1;100;1;1;1;False;0.80;0.1062;0.2858
svd;False;False;False;False;10;1;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;False;False;False;10;1;100;15;1;1;False;0.60;-0.0376;0.7058
svd;False;False;False;False;10;1;100;15;1;1;False;0.70;-0.0706;0.4783
svd;False;False;False;False;10;1;100;15;1;1;False;0.80;-0.0067;0.9461
svd;False;False;False;False;10;1;100;15;1;1;False;0.90;0.0230;0.8178
svd;False;True;False;False;10;1;100;1;1;1;False;0.60;0.1644;0.0970
svd;False;True;False;False;10;1;100;1;1;1;False;0.70;0.0757;0.4470
svd;False;True;False;False;10;1;100;1;1;1;False;0.80;0.1062;0.2858
svd;False;True;False;False;10;1;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;10;1;100;15;1;1;False;0.60;-0.0376;0.7058
svd;False;True;False;False;10;1;100;15;1;1;False;0.70;-0.0706;0.4783
svd;False;True;False;False;10;1;100;15;1;1;False;0.80;-0.0067;0.9461
svd;False;True;False;False;10;1;100;15;1;1;False;0.90;0.0230;0.8178
svd;False;False;False;False;50;1;100;1;1;1;False;0.60;0.1514;0.1268
svd;False;False;False;False;50;1;100;1;1;1;False;0.70;0.1193;0.2302
svd;False;False;False;False;50;1;100;1;1;1;False;0.80;0.1233;0.2147
svd;False;False;False;False;50;1;100;1;1;1;False;0.90;0.2089;0.0342
svd;False;False;False;False;50;1;100;15;1;1;False;0.60;-0.0802;0.4204
svd;False;False;False;False;50;1;100;15;1;1;False;0.70;-0.0274;0.7832
svd;False;False;False;False;50;1;100;15;1;1;False;0.80;-0.0088;0.9299
svd;False;False;False;False;50;1;100;15;1;1;False;0.90;-0.0035;0.9719
svd;False;True;False;False;50;1;100;1;1;1;False;0.60;0.1514;0.1268
svd;False;True;False;False;50;1;100;1;1;1;False;0.70;0.1193;0.2302
svd;False;True;False;False;50;1;100;1;1;1;False;0.80;0.1233;0.2147
svd;False;True;False;False;50;1;100;1;1;1;False;0.90;0.2089;0.0342
svd;False;True;False;False;50;1;100;15;1;1;False;0.60;-0.0802;0.4204
svd;False;True;False;False;50;1;100;15;1;1;False;0.70;-0.0274;0.7832
svd;False;True;False;False;50;1;100;15;1;1;False;0.80;-0.0088;0.9299
svd;False;True;False;False;50;1;100;15;1;1;False;0.90;-0.0035;0.9719
svd;False;False;False;False;100;1;100;1;1;1;False;0.60;0.1310;0.1872
svd;False;False;False;False;100;1;100;1;1;1;False;0.70;0.0669;0.5019
svd;False;False;False;False;100;1;100;1;1;1;False;0.80;0.1443;0.1460
svd;False;False;False;False;100;1;100;1;1;1;False;0.90;0.2089;0.0342
svd;False;False;False;False;100;1;100;15;1;1;False;0.60;-0.0221;0.8245
svd;False;False;False;False;100;1;100;15;1;1;False;0.70;-0.0096;0.9237
svd;False;False;False;False;100;1;100;15;1;1;False;0.80;-0.0036;0.9708
svd;False;False;False;False;100;1;100;15;1;1;False;0.90;-0.0029;0.9770
svd;False;True;False;False;100;1;100;1;1;1;False;0.60;0.1310;0.1872
svd;False;True;False;False;100;1;100;1;1;1;False;0.70;0.0669;0.5019
svd;False;True;False;False;100;1;100;1;1;1;False;0.80;0.1443;0.1460
svd;False;True;False;False;100;1;100;1;1;1;False;0.90;0.2089;0.0342
svd;False;True;False;False;100;1;100;15;1;1;False;0.60;-0.0221;0.8245
svd;False;True;False;False;100;1;100;15;1;1;False;0.70;-0.0096;0.9237
svd;False;True;False;False;100;1;100;15;1;1;False;0.80;-0.0036;0.9708
svd;False;True;False;False;100;1;100;15;1;1;False;0.90;-0.0029;0.9770
svd;False;False;False;False;10;2;100;1;1;1;False;0.60;-0.0156;0.8754
svd;False;False;False;False;10;2;100;1;1;1;False;0.70;-0.0034;0.9728
svd;False;False;False;False;10;2;100;1;1;1;False;0.80;0.0281;0.7783
svd;False;False;False;False;10;2;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;False;False;False;10;2;100;15;1;1;False;0.60;-0.1946;0.0488
svd;False;False;False;False;10;2;100;15;1;1;False;0.70;-0.1410;0.1555
svd;False;False;False;False;10;2;100;15;1;1;False;0.80;-0.0561;0.5737
svd;False;False;False;False;10;2;100;15;1;1;False;0.90;0.0121;0.9033
svd;False;True;False;False;10;2;100;1;1;1;False;0.60;-0.0553;0.5793
svd;False;True;False;False;10;2;100;1;1;1;False;0.70;-0.0159;0.8736
svd;False;True;False;False;10;2;100;1;1;1;False;0.80;0.1587;0.1094
svd;False;True;False;False;10;2;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;10;2;100;15;1;1;False;0.60;-0.1701;0.0858
svd;False;True;False;False;10;2;100;15;1;1;False;0.70;-0.2091;0.0340
svd;False;True;False;False;10;2;100;15;1;1;False;0.80;-0.1969;0.0462
svd;False;True;False;False;10;2;100;15;1;1;False;0.90;-0.1946;0.0488
svd;False;False;False;False;50;2;100;1;1;1;False;0.60;0.0033;0.9735
svd;False;False;False;False;50;2;100;1;1;1;False;0.70;-0.0597;0.5490
svd;False;False;False;False;50;2;100;1;1;1;False;0.80;-0.0218;0.8272
svd;False;False;False;False;50;2;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;False;False;False;50;2;100;15;1;1;False;0.60;-0.0605;0.5437
svd;False;False;False;False;50;2;100;15;1;1;False;0.70;-0.0254;0.7986
svd;False;False;False;False;50;2;100;15;1;1;False;0.80;-0.0110;0.9118
svd;False;False;False;False;50;2;100;15;1;1;False;0.90;-0.0007;0.9941
svd;False;True;False;False;50;2;100;1;1;1;False;0.60;0.0137;0.8904
svd;False;True;False;False;50;2;100;1;1;1;False;0.70;0.0547;0.5829
svd;False;True;False;False;50;2;100;1;1;1;False;0.80;-0.0493;0.6208
svd;False;True;False;False;50;2;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;50;2;100;15;1;1;False;0.60;0.0999;0.3154
svd;False;True;False;False;50;2;100;15;1;1;False;0.70;0.1264;0.2034
svd;False;True;False;False;50;2;100;15;1;1;False;0.80;0.1344;0.1759
svd;False;True;False;False;50;2;100;15;1;1;False;0.90;0.1403;0.1576
svd;False;False;False;False;100;2;100;1;1;1;False;0.60;-0.0246;0.8053
svd;False;False;False;False;100;2;100;1;1;1;False;0.70;-0.0281;0.7781
